Measure:volume	m031	m034	m035	m036	m038	m039	m042	m043	m134	m144
Left-Lateral-Ventricle	0.401287	0.589902	0.972131	0.386832	0.31268	0.632639	0.353543	0.585988	0.430604	0.340208
Left-Inf-Lat-Vent	0.0177428	0.0135072	0.0136442	0.00964236	0.00956467	0.0226759	0.0148742	0.0145061	0.0105386	0.0106263
Left-Cerebellum-White-Matter	0.970501	1.06495	1.14978	1.05637	1.47679	0.877093	0.943224	1.51942	0.834703	1.56416
Left-Cerebellum-Cortex	3.1799	3.64765	3.62704	3.51672	3.00491	3.5006	3.66767	3.13892	3.42584	3.52778
Left-Thalamus-Proper	0.55788	0.496975	0.489134	0.544185	0.554822	0.459065	0.565383	0.480008	0.533437	0.590051
Left-Caudate	0.206185	0.220164	0.335893	0.25777	0.300864	0.215934	0.237405	0.213618	0.261468	0.265599
Left-Putamen	0.354053	0.293726	0.340518	0.351265	0.327134	0.337651	0.344721	0.240807	0.272339	0.291963
Left-Pallidum	0.139309	0.139942	0.148468	0.137641	0.162629	0.134391	0.154218	0.11391	0.128868	0.124424
3rd-Ventricle	0.0412345	0.0705327	0.0422135	0.042446	0.0447383	0.0626935	0.0503213	0.0558134	0.0373199	0.050318
4th-Ventricle	0.0997464	0.101173	0.119074	0.101358	0.125442	0.117806	0.0904999	0.0998636	0.0840253	0.172337
Brain-Stem	1.25989	1.24897	1.44026	1.45201	1.4437	1.33424	1.3132	1.28494	1.34503	1.40876
Left-Hippocampus	0.272031	0.248462	0.272327	0.265914	0.266965	0.244443	0.238621	0.236729	0.28038	0.254161
Left-Amygdala	0.106781	0.102976	0.0845337	0.111826	0.0807518	0.0790883	0.113334	0.0868258	0.0913142	0.0958856
CSF	0.0553283	0.100743	0.0570377	0.0630086	0.0594308	0.0617186	0.0641695	0.0575145	0.0598586	0.074787
Left-Accumbens-area	0.0264856	0.0225933	0.0188979	0.0197433	0.0109225	0.018849	0.0250953	0.0113588	0.0196836	0.0186879
Left-VentralDC	0.257215	0.269284	0.277575	0.25802	0.302061	0.233012	0.265742	0.269044	0.265914	0.308969
Left-vessel	0.00164693	0	0.00116815	0.00179763	0	0.00211799	0.00069927	0.000969657	0.00218296	0
Left-choroid-plexus	0.0263447	0.0256733	0.0508471	0.0212536	0.0189566	0.0354006	0.0216447	0.0251834	0.0215336	0.0248007
Right-Lateral-Ventricle	0.386349	0.600477	1.28187	0.366985	0.25344	0.670578	0.409315	0.457528	0.48773	0.385266
Right-Inf-Lat-Vent	0.00845505	0.00559539	0.0224795	0.024323	0.0171878	0.0208381	0.00731293	0.0404319	0.0191964	0.0263822
Right-Cerebellum-White-Matter	0.831552	1.13192	1.05024	1.00412	1.33675	0.796313	1.20377	1.43595	0.750277	1.15869
Right-Cerebellum-Cortex	3.2762	3.61014	3.92385	3.47351	3.54508	3.55329	3.53901	3.08412	3.59054	3.64051
Right-Thalamus-Proper	0.497587	0.460894	0.442171	0.441427	0.482885	0.451927	0.504148	0.45401	0.436382	0.524066
Right-Caudate	0.194944	0.207209	0.262567	0.242264	0.240385	0.199998	0.270716	0.223187	0.235476	0.270645
Right-Putamen	0.372592	0.29859	0.394461	0.386557	0.360343	0.364092	0.380841	0.224844	0.281799	0.313204
Right-Pallidum	0.14114	0.131909	0.144062	0.156204	0.155244	0.132979	0.151755	0.117927	0.147084	0.134861
Right-Hippocampus	0.281233	0.272948	0.267423	0.252041	0.284963	0.247115	0.269082	0.24155	0.26674	0.236166
Right-Amygdala	0.104681	0.113384	0.105975	0.113214	0.107623	0.110382	0.111217	0.0901116	0.101581	0.11561
Right-Accumbens-area	0.0316345	0.0356642	0.0291148	0.0255275	0.0333691	0.0259818	0.0302059	0.0141514	0.035137	0.0251501
Right-VentralDC	0.239625	0.261899	0.25165	0.231722	0.275285	0.22579	0.263729	0.233499	0.252569	0.262092
Right-vessel	0.00110203	0	0.000154172	0.000385205	0.00113156	0.0010646	0	0	0.00468657	0.00154005
Right-choroid-plexus	0.0191509	0.0315575	0.0650428	0.0302233	0.0122089	0.0398383	0.0320553	0.0210609	0.0287238	0.029403
5th-Ventricle	0	0	0	0	0	0	0	0	6.16654e-05	0
WM-hypointensities	0.0363426	0.0369603	0.0789479	0.0823056	0.0611817	0.0449204	0.03663	0.0485936	0.0244688	0.0270693
Left-WM-hypointensities	0	0	0	0	0	0	0	0	0	0
Right-WM-hypointensities	0	0	0	0	0	0	0	0	0	0
non-WM-hypointensities	0	0	0	0	0	0	0	0	0	0
Left-non-WM-hypointensities	0	0	0	0	0	0	0	0	0	0
Right-non-WM-hypointensities	0	0	0	0	0	0	0	0	0	0
Optic-Chiasm	0.00899383	0.00773215	0.0103473	0.00709267	0.0116908	0.0089258	0.008718	0.0125003	0.00898465	0.0139611
CC_Posterior	0.0741302	0.0897251	0.0947624	0.0872704	0.0659462	0.0661507	0.0680449	0.07642	0.0673633	0.0871666
CC_Mid_Posterior	0.0495426	0.0743442	0.037357	0.0491106	0.039021	0.0432506	0.0423614	0.0399886	0.0544876	0.0474512
CC_Central	0.0448161	0.0622102	0.0315163	0.0551211	0.0454411	0.0558185	0.0441913	0.0353952	0.0422223	0.0623363
CC_Mid_Anterior	0.0599752	0.0583409	0.0304015	0.0497588	0.0393068	0.0537845	0.0393225	0.0374952	0.0461504	0.0815336
CC_Anterior	0.066318	0.0791311	0.073878	0.0700034	0.0607231	0.0690419	0.0668424	0.0788968	0.067092	0.0697167
BrainSegVol	73.55	76.9852	76.7026	76.6316	76.8389	76.5188	74.3203	72.7223	76.6229	75.543
BrainSegVolNotVent	72.5376	75.5075	74.1028	75.6204	76.0372	74.8746	73.3213	71.398	75.4759	74.4763
BrainSegVolNotVentSurf	72.4498	75.3352	74.0241	75.5566	75.9727	74.8151	73.276	71.3309	75.415	74.3723
lhCortexVol	15.3852	15.4516	15.4872	15.3239	15.723	15.4277	14.6018	14.0492	16.551	14.7
